CC,ACT,BASE,GOLD,C_CAL,N_CAL,MATH,HIT,EXPLANATION
4802,1,0.999,0.556,0.039,0.651,0.4,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
7660,0,0.0,0.0,0.021,0.985,0.101,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
4815,0,0.001,0.0,0.026,0.842,0.087,✅,Neural Math analysis complete (Policy timeout)...
5985,1,0.0,0.0,0.004,0.357,0.036,❌,"This transaction for **$119.06** at *Hermiston, Russel and P.."
3023,0,0.075,0.001,0.0,0.356,0.036,✅,This transaction for **$1.64** at **Fadel Inc (health_fitnes..
8741,0,0.0,0.0,0.002,0.917,0.092,✅,This transaction for **$37.77 at Dach-Borer (grocery_net)** ..
8457,1,0.07,0.03,0.999,1.0,0.806,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
5395,0,0.0,0.0,0.002,0.53,0.053,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
0610,0,0.0,0.0,0.011,0.933,0.094,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
2988,1,0.943,0.667,0.008,0.907,0.519,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
9043,0,0.0,0.0,0.004,0.897,0.09,✅,Neural Math analysis complete (Policy timeout)...
1241,1,0.999,0.382,0.021,0.897,0.456,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
4489,0,0.001,0.0,0.031,0.542,0.057,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
2904,0,0.0,0.0,0.006,0.997,0.1,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
4911,0,0.009,0.0,0.009,0.727,0.074,✅,"This transaction (CC ending in **4911**, $49.79 at **Kling I.."
3188,1,0.995,0.002,0.999,1.0,0.8,✅,Neural Math analysis complete (Policy timeout)...
9761,0,0.043,0.001,0.005,0.85,0.086,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
6408,0,0.185,0.001,0.014,0.865,0.088,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
4051,0,0.004,0.0,0.0,0.385,0.039,✅,This transaction for **$66.76 at Luettgen PLC (gas/transport..
0870,0,0.0,0.0,0.004,0.635,0.064,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
8499,1,0.068,0.03,1.0,1.0,0.806,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
4907,0,0.001,0.0,0.001,0.983,0.098,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
6071,1,0.696,0.12,0.006,0.713,0.31,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
7204,1,0.46,0.04,1.0,0.999,0.807,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
9660,1,1.0,0.02,0.997,0.999,0.803,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
9750,0,0.0,0.0,0.002,0.537,0.054,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
2895,0,0.124,0.011,0.016,0.761,0.087,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
0163,0,0.001,0.0,0.001,0.469,0.047,✅,Neural Math analysis complete (Policy timeout)...
9330,1,0.575,0.103,0.006,0.933,0.39,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
1411,0,0.007,0.004,0.0,0.501,0.053,✅,This transaction for **$35.91** at **Gislason Group (misc_po..
2597,1,0.088,0.01,0.965,0.998,0.791,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
3122,1,0.047,0.012,0.997,1.0,0.801,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
7928,1,0.003,0.0,0.001,0.44,0.044,❌,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
